timestamp,satellite_id,bus_voltage,battery_temperature,reaction_wheel_speed,sun_sensor_intensity,operating_mode,anomaly_label,hardware_version
2026-02-02T08:00:10Z,SAT-1000,,18.75,1553.5,0.4475,NOMINAL,1,HW-A2
2026-02-02T08:00:20Z,SAT-1001,27.742,19.61,1435.4,0.3083,NOMINAL,0,HW-A2
2026-02-02T08:00:30Z,SAT-1002,27.415,18.44,1527.4,0.2068,NOMINAL,0,HW-A2
2026-02-02T08:00:40Z,SAT-1003,28.687,19.43,1526.1,0.547,NOMINAL,0,HW-A2
2026-02-02T08:00:50Z,SAT-1004,,17.58,1484.3,0.3767,NOMINAL,0,HW-A2
2026-02-02T08:01:00Z,SAT-1000,28.838,20.55,1408.5,0.4214,NOMINAL,0,HW-A2
2026-02-02T08:01:10Z,SAT-1001,27.762,18.92,1477.1,0.2273,NOMINAL,0,HW-A2
2026-02-02T08:01:20Z,SAT-1002,28.938,19.54,1487.6,0.8746,NOMINAL,0,HW-A2
2026-02-02T08:01:30Z,SAT-1003,26.854,20.02,1452.4,0.8823,NOMINAL,0,HW-A2
2026-02-02T08:01:40Z,SAT-1004,28.41,20.11,1481.9,0.1907,NOMINAL,0,HW-A2
2026-02-02T08:01:50Z,SAT-1000,,18.51,1497.0,0.2306,NOMINAL,0,HW-A2
2026-02-02T08:02:00Z,SAT-1001,,20.25,1468.7,0.5362,NOMINAL,0,HW-A2
2026-02-02T08:02:10Z,SAT-1002,28.033,19.85,1467.8,0.3131,NOMINAL,0,HW-A2
2026-02-02T08:02:20Z,SAT-1003,,18.15,1531.7,0.7118,NOMINAL,0,HW-A2
2026-02-02T08:02:30Z,SAT-1004,28.201,21.71,1407.4,0.5515,NOMINAL,0,HW-A2
2026-02-02T08:02:40Z,SAT-1000,28.943,20.95,1527.9,0.2006,NOMINAL,0,HW-A2
2026-02-02T08:02:50Z,SAT-1001,28.192,18.82,1475.8,0.7424,NOMINAL,0,HW-A2
2026-02-02T08:03:00Z,SAT-1002,27.367,19.14,1455.1,0.8232,NOMINAL,0,HW-A2
2026-02-02T08:03:10Z,SAT-1003,27.99,18.15,1558.7,0.3755,NOMINAL,0,HW-A2
2026-02-02T08:03:20Z,SAT-1004,,18.89,1453.8,0.3691,NOMINAL,0,HW-A2
2026-02-02T08:03:30Z,SAT-1000,19.562,18.43,1522.5,0.0334,NOMINAL,0,HW-A2
2026-02-02T08:03:40Z,SAT-1001,28.983,20.19,1524.3,0.2195,NOMINAL,0,HW-A2
2026-02-02T08:03:50Z,SAT-1002,20.502,17.36,1446.0,0.7363,STANDBY,0,HW-A2
2026-02-02T08:04:00Z,SAT-1003,27.276,19.11,1495.6,0.891,NOMINAL,0,HW-A2
2026-02-02T08:04:10Z,SAT-1004,28.335,17.45,1453.2,0.0419,NOMINAL,0,HW-A2
