timestamp,component_id,sensor_a,sensor_b,temperature_c,post_event_diagnosis,anomaly_label_copy,anomaly_label
2026-03-01T00:00:00Z,CMP-00000,53.2,26.96,32.2,0,0,0
2026-03-01T00:00:30Z,CMP-00001,58.26,29.25,32.1,0,0,0
2026-03-01T00:01:00Z,CMP-00002,65.39,31.96,28.8,0,0,0
2026-03-01T00:01:30Z,CMP-00003,42.02,21.42,29.0,0,0,0
2026-03-01T00:02:00Z,CMP-00004,51.05,24.97,29.3,0,0,0
2026-03-01T00:02:30Z,CMP-00005,41.85,21.05,27.8,0,0,0
2026-03-01T00:03:00Z,CMP-00006,50.96,25.7,32.1,0,0,0
2026-03-01T00:03:30Z,CMP-00007,44.77,22.22,26.9,0,0,0
2026-03-01T00:04:00Z,CMP-00008,44.24,22.15,27.1,0,0,0
2026-03-01T00:04:30Z,CMP-00009,45.49,22.44,32.6,0,0,0
2026-03-01T00:05:00Z,CMP-00010,46.4,23.57,33.0,0,0,0
2026-03-01T00:05:30Z,CMP-00011,55.64,27.56,27.2,0,0,0
2026-03-01T00:06:00Z,CMP-00012,55.3,27.07,30.3,0,0,0
2026-03-01T00:06:30Z,CMP-00013,55.98,28.16,27.4,0,0,0
2026-03-01T00:07:00Z,CMP-00014,49.08,24.72,27.6,0,0,0
2026-03-01T00:07:30Z,CMP-00015,57.1,29.32,27.5,0,0,0
2026-03-01T00:08:00Z,CMP-00016,55.52,27.29,30.5,0,0,0
2026-03-01T00:08:30Z,CMP-00017,47.82,23.63,27.6,0,0,0
2026-03-01T00:09:00Z,CMP-00018,56.36,27.3,30.1,0,0,0
2026-03-01T00:09:30Z,CMP-00019,43.3,21.03,31.4,0,0,0
2026-03-01T00:10:00Z,CMP-00020,54.54,27.38,28.7,0,0,0
2026-03-01T00:10:30Z,CMP-00021,51.36,24.95,31.2,0,0,0
2026-03-01T00:11:00Z,CMP-00022,46.94,23.34,30.7,0,0,0
2026-03-01T00:11:30Z,CMP-00023,47.74,23.71,29.7,0,0,0
2026-03-01T00:12:00Z,CMP-00024,48.12,24.69,29.6,0,0,0
2026-03-01T00:12:30Z,CMP-00025,57.2,28.9,30.5,0,0,0
2026-03-01T00:13:00Z,CMP-00026,42.54,20.63,29.7,0,0,0
2026-03-01T00:13:30Z,CMP-00027,52.93,26.76,28.0,0,0,0
2026-03-01T00:14:00Z,CMP-00028,44.45,22.78,27.1,0,0,0
2026-03-01T00:14:30Z,CMP-00029,38.21,19.38,31.4,0,0,0
2026-03-01T00:15:00Z,CMP-00030,49.32,24.41,29.0,0,0,0
2026-03-01T00:15:30Z,CMP-00031,52.33,26.2,30.3,0,0,0
2026-03-01T00:16:00Z,CMP-00032,49.15,24.8,30.0,0,0,0
2026-03-01T00:16:30Z,CMP-00033,51.72,26.21,30.9,0,0,0
2026-03-01T00:17:00Z,CMP-00034,51.28,25.94,29.7,0,0,0
2026-03-01T00:17:30Z,CMP-00035,43.56,21.95,31.4,0,0,0
2026-03-01T00:18:00Z,CMP-00036,59.83,29.06,27.8,0,0,0
2026-03-01T00:18:30Z,CMP-00037,49.87,25.16,27.5,0,0,0
2026-03-01T00:19:00Z,CMP-00038,45.52,22.62,30.2,0,0,0
2026-03-01T00:19:30Z,CMP-00039,45.19,22.33,30.0,0,0,0
2026-03-01T00:20:00Z,CMP-00040,53.08,26.46,26.8,0,0,0
2026-03-01T00:20:30Z,CMP-00041,48.37,24.06,28.6,0,0,0
2026-03-01T00:21:00Z,CMP-00042,48.82,24.01,26.2,0,0,0
2026-03-01T00:21:30Z,CMP-00043,50.66,26.04,31.6,0,0,0
2026-03-01T00:22:00Z,CMP-00044,45.51,22.95,27.8,0,0,0
2026-03-01T00:22:30Z,CMP-00045,43.15,21.87,30.2,0,0,0
2026-03-01T00:23:00Z,CMP-00046,48.8,24.69,30.7,0,0,0
2026-03-01T00:23:30Z,CMP-00047,60.22,30.52,30.6,1,1,1
2026-03-01T00:24:00Z,CMP-00048,44.56,22.02,29.4,0,0,0
2026-03-01T00:24:30Z,CMP-00049,51.45,25.12,28.5,0,0,0
2026-03-01T00:25:00Z,CMP-00050,54.46,27.85,32.2,0,0,0
2026-03-01T00:25:30Z,CMP-00051,50.54,25.39,30.5,0,0,0
2026-03-01T00:26:00Z,CMP-00052,51.62,25.35,32.3,0,0,0
2026-03-01T00:26:30Z,CMP-00053,41.81,20.75,32.8,0,0,0
2026-03-01T00:27:00Z,CMP-00054,57.43,28.29,32.8,0,0,0
2026-03-01T00:27:30Z,CMP-00055,58.49,28.46,29.7,0,0,0
2026-03-01T00:28:00Z,CMP-00056,46.85,22.93,34.2,0,0,0
2026-03-01T00:28:30Z,CMP-00057,52.33,25.77,29.6,0,0,0
2026-03-01T00:29:00Z,CMP-00058,55.4,28.71,27.7,0,0,0
2026-03-01T00:29:30Z,CMP-00059,45.74,23.37,27.9,0,0,0
2026-03-01T00:30:00Z,CMP-00060,57.03,28.56,28.4,0,0,0
2026-03-01T00:30:30Z,CMP-00061,49.32,23.93,29.7,0,0,0
2026-03-01T00:31:00Z,CMP-00062,47.82,23.65,30.8,0,0,0
2026-03-01T00:31:30Z,CMP-00063,46.5,22.73,34.8,0,0,0
2026-03-01T00:32:00Z,CMP-00064,45.08,22.72,28.2,0,0,0
2026-03-01T00:32:30Z,CMP-00065,38.61,19.45,32.4,0,0,0
2026-03-01T00:33:00Z,CMP-00066,54.1,26.52,29.8,0,0,0
2026-03-01T00:33:30Z,CMP-00067,51.25,25.94,28.6,0,0,0
2026-03-01T00:34:00Z,CMP-00068,49.81,24.22,31.5,0,0,0
2026-03-01T00:34:30Z,CMP-00069,43.99,22.68,29.4,0,0,0
2026-03-01T00:35:00Z,CMP-00070,51.88,26.35,28.8,0,0,0
2026-03-01T00:35:30Z,CMP-00071,49.51,25.39,32.0,0,0,0
2026-03-01T00:36:00Z,CMP-00072,47.58,24.09,34.1,0,0,0
2026-03-01T00:36:30Z,CMP-00073,55.76,27.35,29.1,0,0,0
2026-03-01T00:37:00Z,CMP-00074,40.04,19.72,24.9,0,0,0
2026-03-01T00:37:30Z,CMP-00075,48.02,23.42,28.9,0,0,0
2026-03-01T00:38:00Z,CMP-00076,49.65,24.82,28.3,0,0,0
2026-03-01T00:38:30Z,CMP-00077,44.01,22.59,31.6,0,0,0
2026-03-01T00:39:00Z,CMP-00078,42.87,21.16,32.1,0,0,0
2026-03-01T00:39:30Z,CMP-00079,51.81,25.45,29.4,0,0,0
2026-03-01T00:40:00Z,CMP-00080,42.18,22.79,28.1,0,0,0
2026-03-01T00:40:30Z,CMP-00081,56.01,27.82,29.0,0,0,0
2026-03-01T00:41:00Z,CMP-00082,59.18,29.46,31.1,0,0,0
2026-03-01T00:41:30Z,CMP-00083,50.1,24.4,31.4,0,0,0
2026-03-01T00:42:00Z,CMP-00084,56.52,28.49,29.9,0,0,0
2026-03-01T00:42:30Z,CMP-00085,44.16,22.38,28.7,0,0,0
2026-03-01T00:43:00Z,CMP-00086,50.08,24.66,31.1,0,0,0
2026-03-01T00:43:30Z,CMP-00087,51.7,25.64,30.0,0,0,0
2026-03-01T00:44:00Z,CMP-00088,53.56,25.95,32.3,0,0,0
2026-03-01T00:44:30Z,CMP-00089,57.09,28.01,32.3,0,0,0
2026-03-01T00:45:00Z,CMP-00090,53.73,27.09,30.4,0,0,0
2026-03-01T00:45:30Z,CMP-00091,46.24,23.23,28.0,0,0,0
2026-03-01T00:46:00Z,CMP-00092,48.84,23.97,29.7,0,0,0
2026-03-01T00:46:30Z,CMP-00093,48.41,24.45,27.0,0,0,0
2026-03-01T00:47:00Z,CMP-00094,50.95,24.94,27.9,0,0,0
2026-03-01T00:47:30Z,CMP-00095,49.45,25.03,31.2,0,0,0
2026-03-01T00:48:00Z,CMP-00096,60.08,29.04,29.8,1,1,1
2026-03-01T00:48:30Z,CMP-00097,48.36,23.89,28.6,0,0,0
2026-03-01T00:49:00Z,CMP-00098,49.52,23.87,30.6,0,0,0
2026-03-01T00:49:30Z,CMP-00099,45.89,22.74,31.0,0,0,0
2026-03-01T00:50:00Z,CMP-00100,55.94,28.58,30.7,0,0,0
2026-03-01T00:50:30Z,CMP-00101,61.47,30.56,26.1,1,1,1
2026-03-01T00:51:00Z,CMP-00102,48.23,23.31,30.3,0,0,0
2026-03-01T00:51:30Z,CMP-00103,53.75,27.04,28.3,0,0,0
2026-03-01T00:52:00Z,CMP-00104,52.42,26.8,31.5,0,0,0
2026-03-01T00:52:30Z,CMP-00105,51.2,26.07,31.5,0,0,0
2026-03-01T00:53:00Z,CMP-00106,56.87,28.59,28.5,0,0,0
2026-03-01T00:53:30Z,CMP-00107,50.08,24.75,33.2,0,0,0
2026-03-01T00:54:00Z,CMP-00108,52.28,26.71,31.7,0,0,0
2026-03-01T00:54:30Z,CMP-00109,49.95,24.76,30.7,0,0,0
2026-03-01T00:55:00Z,CMP-00110,47.68,24.37,31.5,0,0,0
2026-03-01T00:55:30Z,CMP-00111,45.2,21.76,33.1,0,0,0
2026-03-01T00:56:00Z,CMP-00112,50.97,25.03,26.2,0,0,0
2026-03-01T00:56:30Z,CMP-00113,51.65,26.0,29.4,0,0,0
2026-03-01T00:57:00Z,CMP-00114,42.86,21.56,30.1,0,0,0
2026-03-01T00:57:30Z,CMP-00115,41.62,20.46,30.4,0,0,0
2026-03-01T00:58:00Z,CMP-00116,43.88,21.58,26.0,0,0,0
2026-03-01T00:58:30Z,CMP-00117,42.36,21.48,33.5,0,0,0
2026-03-01T00:59:00Z,CMP-00118,49.7,25.7,28.1,0,0,0
2026-03-01T00:59:30Z,CMP-00119,42.29,21.85,28.8,0,0,0
2026-03-01T01:00:00Z,CMP-00120,50.86,25.03,30.6,0,0,0
2026-03-01T01:00:30Z,CMP-00121,36.43,17.94,31.8,0,0,0
2026-03-01T01:01:00Z,CMP-00122,40.93,20.33,30.8,0,0,0
2026-03-01T01:01:30Z,CMP-00123,53.43,26.05,31.5,0,0,0
2026-03-01T01:02:00Z,CMP-00124,56.2,28.05,29.9,0,0,0
2026-03-01T01:02:30Z,CMP-00125,51.08,25.85,29.4,0,0,0
2026-03-01T01:03:00Z,CMP-00126,55.41,27.1,30.6,0,0,0
2026-03-01T01:03:30Z,CMP-00127,61.0,30.3,30.3,0,0,0
2026-03-01T01:04:00Z,CMP-00128,53.2,27.37,28.8,0,0,0
2026-03-01T01:04:30Z,CMP-00129,47.77,23.49,33.9,0,0,0
2026-03-01T01:05:00Z,CMP-00130,46.07,22.84,29.2,0,0,0
2026-03-01T01:05:30Z,CMP-00131,40.53,21.39,29.7,0,0,0
2026-03-01T01:06:00Z,CMP-00132,58.77,29.05,34.0,0,0,0
2026-03-01T01:06:30Z,CMP-00133,53.45,27.4,29.2,0,0,0
2026-03-01T01:07:00Z,CMP-00134,50.28,24.87,30.9,0,0,0
2026-03-01T01:07:30Z,CMP-00135,49.47,23.6,29.2,0,0,0
2026-03-01T01:08:00Z,CMP-00136,44.25,21.77,32.3,0,0,0
2026-03-01T01:08:30Z,CMP-00137,51.24,24.88,28.7,0,0,0
2026-03-01T01:09:00Z,CMP-00138,43.34,21.97,29.5,0,0,0
2026-03-01T01:09:30Z,CMP-00139,46.9,23.56,30.6,0,0,0
2026-03-01T01:10:00Z,CMP-00140,50.91,25.51,31.5,0,0,0
2026-03-01T01:10:30Z,CMP-00141,50.02,25.1,27.6,0,0,0
2026-03-01T01:11:00Z,CMP-00142,46.83,23.34,28.3,0,0,0
2026-03-01T01:11:30Z,CMP-00143,49.48,25.16,30.8,0,0,0
2026-03-01T01:12:00Z,CMP-00144,48.79,24.06,26.0,0,0,0
2026-03-01T01:12:30Z,CMP-00145,53.26,26.6,25.6,0,0,0
2026-03-01T01:13:00Z,CMP-00146,45.75,23.89,31.7,0,0,0
2026-03-01T01:13:30Z,CMP-00147,48.34,24.99,29.1,0,0,0
2026-03-01T01:14:00Z,CMP-00148,58.52,30.6,27.3,0,0,0
2026-03-01T01:14:30Z,CMP-00149,55.7,27.78,31.4,0,0,0
