path,category,method,level,checksum,size_bytes
ecss-ml-assurance-workbench/backend/app/assurance_engine/__init__.py,Source Code Verification Evidence,Analysis,Software Component,ef860d58cd4b077c298faba2b4b483b794d59c3433f483298b7f2288628f5732,231
ecss-ml-assurance-workbench/backend/app/assurance_engine/engine.py,Source Code Verification Evidence,Analysis,Software Component,9124b9614dde11c8b123b6352dbbb60a882a23d024298884c6e1a78423b87e67,38555
ecss-ml-assurance-workbench/backend/app/assurance_engine/packages.py,Source Code Verification Evidence,Analysis,Software Component,5c74656cc6333397dbddc4dd197c90b34191880e04ef4e24ce2251e875237578,6808
ecss-ml-assurance-workbench/backend/app/assurance_engine/reports.py,Source Code Verification Evidence,Analysis,Software Component,5332ba1a3c9bc564328b05227b22c323562a40cd3505d418fbe1230686ac9fea,8274
ecss-ml-assurance-workbench/backend/app/continuous/__init__.py,Source Code Verification Evidence,Analysis,Software Component,c0df865443c4b09b97ee9174dc59e2ada9f40ed194c868f1f62170aad53ddcfe,37
ecss-ml-assurance-workbench/backend/app/continuous/engine.py,Source Code Verification Evidence,Analysis,Software Component,d67c4f55b66981467c376de93e425453481ac6a6d7fa1e47292cf3c86900419a,31364
ecss-ml-assurance-workbench/backend/app/portfolio/__init__.py,Source Code Verification Evidence,Analysis,Software Component,a961fd67dd1a5b03a02b176c56cb946a658d488e149d55aafadca16ed1adb730,2861
ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/__init__.py,Source Code Verification Evidence,Analysis,Software Component,06f71181bed47248ebcf829e691d778754306484717740dc025f75ddef6d4dc9,342
ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/builders.py,Source Code Verification Evidence,Analysis,Software Component,4932ec9e8933fc13e4e0ea8e4f8249ed538d84fd139e4ac28cf8c3d587e6d2b0,7540
ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/lls.py,Source Code Verification Evidence,Analysis,Software Component,28daeeb4488bb65f396abf17fee514d57dd11d2a78968ab3533414935233e6e7,26121
ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/qnt.py,Source Code Verification Evidence,Analysis,Software Component,0569c0d838a121c0c5ec24f61e41017f1a447f6f379c8a412d61ba23cf875799,23959
ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/seu.py,Source Code Verification Evidence,Analysis,Software Component,eb6811817920f707dfc24eb534e0539007c9f204c765461aa364225ef5a6e091,24036
ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/tad.py,Source Code Verification Evidence,Analysis,Software Component,54344c3498077e1c0a2886742f1db3d7a25a6a457e9d94df5a7633c17966e87c,27878
ecss-ml-assurance-workbench/backend/app/portfolio/models.py,Source Code Verification Evidence,Analysis,Software Component,c6f08c580782c174de2734e03a3fee51186e479b4db746ca4fb119fdd0d193e4,18483
ecss-ml-assurance-workbench/backend/app/portfolio/package.py,Source Code Verification Evidence,Analysis,Software Component,05a251c026111fbd59b182b5e0d1b8332ea44166d6969c3cfa7204fe6352063d,27800
ecss-ml-assurance-workbench/backend/app/portfolio/seed.py,Source Code Verification Evidence,Analysis,Software Component,d731312c7a42ff9f62ef910a5b046b9269fa33cec357d779d25798de1c5f4bab,7567
ecss-ml-assurance-workbench/backend/app/portfolio/service.py,Source Code Verification Evidence,Analysis,Software Component,e690894690321549e1c7b0a0e8b47dbe66056b6bd9c2166af79726ec187b5ecd,17133
ecss-ml-assurance-workbench/backend/tests/conftest.py,Unit Test Evidence,Test,Software Component,ebd8b9371b92414f28cf1dd50b43cd822779aad16064fcf1ed7d2a85cd906e13,437
ecss-ml-assurance-workbench/backend/tests/continuous/test_continuous_week7.py,Unit Test Evidence,Test,Software Component,98e9c2e806e67bbdb4cab9d5ef013543de80c36fadf9771bf4591a74122968d6,5691
ecss-ml-assurance-workbench/backend/tests/demo/test_demo_week6.py,Unit Test Evidence,Test,Software Component,5310b8fd52ee23b94084aa8d2e20d0a3204aa39e79b7c4601ca06299f15a38d1,1363
ecss-ml-assurance-workbench/backend/tests/factories.py,Unit Test Evidence,Test,Software Component,48be770df456b1abaff9110abca292e5806f2ac96ece7557f740c271002b0def,2562
ecss-ml-assurance-workbench/backend/tests/helpers.py,Unit Test Evidence,Test,Software Component,a77c33e87b9f1e4369ed7858b828de35afc9f497fb04d5eb0830315684ff70cf,1861
ecss-ml-assurance-workbench/backend/tests/test_analyzers.py,Unit Test Evidence,Test,Software Component,a9f8a5a9c6050201c1e0d55b2f0b9d2c7ec466a30f9e4d8e07a4d4f55ffd37b8,6578
ecss-ml-assurance-workbench/backend/tests/test_assurance_engine_week5.py,Unit Test Evidence,Test,Software Component,e353092a45feec304abfce4dcd96eba4a529d7e16362621dea9d5454cdbda022,6339
ecss-ml-assurance-workbench/backend/tests/test_assurance_registry.py,Unit Test Evidence,Test,Software Component,c154d8317fca932fc292ae0f41b0d5d1c5e296facaf7ef4c299a30d24c833a8b,4774
ecss-ml-assurance-workbench/backend/tests/test_e2e_flow.py,Unit Test Evidence,Test,Software Component,2dcd9894429a86f6e76bcfc71503ba5a6d69267804ffc40467ee89ef2a9cfdac,2479
ecss-ml-assurance-workbench/backend/tests/test_portfolio_week3.py,Unit Test Evidence,Test,Software Component,6d7184eb794f27229e6c7da2159cd30e2a9d7a85623acfd516ef319eecdd63a9,9636
ecss-ml-assurance-workbench/backend/tests/test_projects_datasets.py,Unit Test Evidence,Test,Software Component,0c61d87476d07ee205ebacd4a96017e0ac011c07233a3165973615723025178e,6190
ecss-ml-assurance-workbench/backend/tests/test_score_reports.py,Unit Test Evidence,Test,Software Component,8082b3226828cf7633bb71b192fe2276fedf9ff2e79f27204ca1d32b669dc5c4,5803
