source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260325_162226_results.json,1,1,True,11.000022,SUCCESS,0.08,11.000022,SUCCESS,1.256,0.063,classical,1,1
q_20260325_162257_results.json,2,1,True,22.00001,SUCCESS,0.169,22.00001,SUCCESS,1.636,0.103,classical,1,1
q_20260325_162332_results.json,3,1,True,33.0,SUCCESS,0.214,33.0,SUCCESS,2.227,0.096,classical,1,1
q_20260325_162424_results.json,4,1,True,43.0,SUCCESS,0.286,43.0,SUCCESS,3.21,0.089,classical,1,1
q_20260325_162632_results.json,5,1,True,53.0,SUCCESS,0.405,53.0,SUCCESS,6.107,0.066,classical,1,1
q_20260325_162819_results.json,6,1,True,63.000032,SUCCESS,0.511,63.000032,SUCCESS,24.165,0.021,classical,1,1
q_20260615_102801_results.json,1,1,True,11.000022,SUCCESS,0.579,11.000022,SUCCESS,5.244,0.11,classical,1,1
q_20260615_102839_results.json,2,1,True,22.0,SUCCESS,0.342,22.0,SUCCESS,2.568,0.133,classical,1,1
q_20260615_102956_results.json,3,1,True,33.000034,SUCCESS,0.401,33.000034,SUCCESS,3.97,0.101,classical,1,1
q_20260615_103108_results.json,4,1,True,42.999996,INFEASIBLE,0.545,42.999996,INFEASIBLE,6.088,0.09,classical,1,1
q_20260615_103241_results.json,5,1,True,53.0,SUCCESS,0.789,53.0,SUCCESS,10.995,0.072,classical,1,1
q_20260615_103627_results.json,6,1,True,63.0,INFEASIBLE,0.891,63.0,INFEASIBLE,26.492,0.034,classical,1,1
q_20260325_162230_results.json,1,2,True,11.000027,SUCCESS,0.122,11.000027,SUCCESS,1.386,0.088,classical,1,1
q_20260325_162301_results.json,2,2,True,22.00004,SUCCESS,0.238,22.00004,SUCCESS,1.652,0.144,classical,1,1
q_20260325_162343_results.json,3,2,True,33.000046,SUCCESS,1.329,33.000046,SUCCESS,7.274,0.183,classical,3,3
q_20260325_162436_results.json,4,2,True,43.000004,SUCCESS,1.158,43.000004,SUCCESS,8.228,0.141,classical,2,2
q_20260325_162642_results.json,5,2,True,53.0,SUCCESS,0.824,53.0,SUCCESS,6.461,0.128,classical,1,1
q_20260325_162845_results.json,6,2,True,63.000068,SUCCESS,1.253,63.000068,SUCCESS,22.273,0.056,classical,1,1
q_20260615_102808_results.json,1,2,True,11.0,SUCCESS,0.236,11.0,SUCCESS,1.782,0.132,classical,1,1
q_20260615_102845_results.json,2,2,True,21.999999,INFEASIBLE,0.451,21.999999,INFEASIBLE,2.821,0.16,classical,1,1
q_20260615_103004_results.json,3,2,True,33.001021,SUCCESS,0.962,33.001021,SUCCESS,4.136,0.233,classical,1,1
q_20260615_103123_results.json,4,2,True,43.000935,SUCCESS,1.402,43.000935,SUCCESS,10.055,0.139,classical,1,1
q_20260615_103258_results.json,5,2,True,53.000201,INFEASIBLE,1.756,53.000201,INFEASIBLE,12.018,0.146,classical,1,1
q_20260615_103711_results.json,6,2,True,62.999983,INFEASIBLE,2.464,62.999983,INFEASIBLE,38.726,0.064,classical,1,1
q_20260325_162235_results.json,1,3,True,11.0,SUCCESS,0.234,11.0,SUCCESS,1.753,0.134,classical,1,1
